tile,count,save_path,filename
T13TFL,2,/data/tiles/HLS.S30.T13TFL.2022101T174909.v2.0/,HLS.S30.T13TFL.2022101T174909.v2.0
T13TFL,3,/data/tiles/HLS.S30.T13TFL.2022166T174921.v2.0/,HLS.S30.T13TFL.2022166T174921.v2.0
T13TFL,4,/data/tiles/HLS.S30.T13TFL.2022171T174909.v2.0/,HLS.S30.T13TFL.2022171T174909.v2.0
T13TFL,5,/data/tiles/HLS.S30.T13TFL.2022176T174921.v2.0/,HLS.S30.T13TFL.2022176T174921.v2.0
T13TFM,0,/data/tiles/HLS.S30.T13TFM.2022136T174911.v2.0/,HLS.S30.T13TFM.2022136T174911.v2.0
T13TFM,1,/data/tiles/HLS.S30.T13TFM.2022171T174909.v2.0/,HLS.S30.T13TFM.2022171T174909.v2.0
T13TFM,2,/data/tiles/HLS.S30.T13TFM.2022176T174921.v2.0/,HLS.S30.T13TFM.2022176T174921.v2.0
T13TFM,3,/data/tiles/HLS.S30.T13TFM.2022206T174921.v2.0/,HLS.S30.T13TFM.2022206T174921.v2.0
T13TFM,4,/data/tiles/HLS.S30.T13TFM.2022231T174909.v2.0/,HLS.S30.T13TFM.2022231T174909.v2.0
T13TFM,5,/data/tiles/HLS.S30.T13TFM.2022256T174931.v2.0/,HLS.S30.T13TFM.2022256T174931.v2.0
T13TFN,0,/data/tiles/HLS.S30.T13TFN.2022101T174909.v2.0/,HLS.S30.T13TFN.2022101T174909.v2.0
T13TFN,1,/data/tiles/HLS.S30.T13TFN.2022111T174859.v2.0/,HLS.S30.T13TFN.2022111T174859.v2.0
T13TFN,2,/data/tiles/HLS.S30.T13TFN.2022171T174909.v2.0/,HLS.S30.T13TFN.2022171T174909.v2.0
T13TFN,3,/data/tiles/HLS.S30.T13TFN.2022181T174919.v2.0/,HLS.S30.T13TFN.2022181T174919.v2.0
T13TFN,4,/data/tiles/HLS.S30.T13TFN.2022186T174921.v2.0/,HLS.S30.T13TFN.2022186T174921.v2.0
T13TFN,5,/data/tiles/HLS.S30.T13TFN.2022226T174921.v2.0/,HLS.S30.T13TFN.2022226T174921.v2.0
T13TGE,0,/data/tiles/HLS.S30.T13TGE.2022100T172901.v2.0/,HLS.S30.T13TGE.2022100T172901.v2.0
T13TGE,1,/data/tiles/HLS.S30.T13TGE.2022115T172849.v2.0/,HLS.S30.T13TGE.2022115T172849.v2.0
T13TGE,2,/data/tiles/HLS.S30.T13TGE.2022120T172901.v2.0/,HLS.S30.T13TGE.2022120T172901.v2.0
T13TGE,3,/data/tiles/HLS.S30.T13TGE.2022145T172859.v2.0/,HLS.S30.T13TGE.2022145T172859.v2.0
T13TGE,4,/data/tiles/HLS.S30.T13TGE.2022150T172911.v2.0/,HLS.S30.T13TGE.2022150T172911.v2.0
T13TGE,5,/data/tiles/HLS.S30.T13TGE.2022175T172909.v2.0/,HLS.S30.T13TGE.2022175T172909.v2.0
T13TGF,0,/data/tiles/HLS.S30.T13TGF.2022063T174231.v2.0/,HLS.S30.T13TGF.2022063T174231.v2.0
T13TGF,1,/data/tiles/HLS.S30.T13TGF.2022073T174111.v2.0/,HLS.S30.T13TGF.2022073T174111.v2.0
T13TGF,2,/data/tiles/HLS.S30.T13TGF.2022088T173859.v2.0/,HLS.S30.T13TGF.2022088T173859.v2.0
T13TGF,3,/data/tiles/HLS.S30.T13TGF.2022123T173911.v2.0/,HLS.S30.T13TGF.2022123T173911.v2.0
T13TGF,4,/data/tiles/HLS.S30.T13TGF.2022153T173911.v2.0/,HLS.S30.T13TGF.2022153T173911.v2.0
T13TGF,5,/data/tiles/HLS.S30.T13TGF.2022173T173921.v2.0/,HLS.S30.T13TGF.2022173T173921.v2.0
T13TGH,0,/data/tiles/HLS.S30.T13TGH.2022063T174231.v2.0/,HLS.S30.T13TGH.2022063T174231.v2.0
T13TGH,1,/data/tiles/HLS.S30.T13TGH.2022073T174111.v2.0/,HLS.S30.T13TGH.2022073T174111.v2.0
T13TGH,2,/data/tiles/HLS.S30.T13TGH.2022093T173911.v2.0/,HLS.S30.T13TGH.2022093T173911.v2.0
T13TGH,3,/data/tiles/HLS.S30.T13TGH.2022158T173909.v2.0/,HLS.S30.T13TGH.2022158T173909.v2.0
T13TGH,4,/data/tiles/HLS.S30.T13TGH.2022188T173909.v2.0/,HLS.S30.T13TGH.2022188T173909.v2.0
T13TGH,5,/data/tiles/HLS.S30.T13TGH.2022213T173911.v2.0/,HLS.S30.T13TGH.2022213T173911.v2.0
T13TGJ,0,/data/tiles/HLS.S30.T13TGJ.2022063T174231.v2.0/,HLS.S30.T13TGJ.2022063T174231.v2.0
T13TGJ,1,/data/tiles/HLS.S30.T13TGJ.2022073T174111.v2.0/,HLS.S30.T13TGJ.2022073T174111.v2.0
T13TGJ,2,/data/tiles/HLS.S30.T13TGJ.2022093T173911.v2.0/,HLS.S30.T13TGJ.2022093T173911.v2.0
T13TGJ,3,/data/tiles/HLS.S30.T13TGJ.2022103T173911.v2.0/,HLS.S30.T13TGJ.2022103T173911.v2.0
T13TGJ,4,/data/tiles/HLS.S30.T13TGJ.2022188T173909.v2.0/,HLS.S30.T13TGJ.2022188T173909.v2.0
T13TGJ,5,/data/tiles/HLS.S30.T13TGJ.2022208T173909.v2.0/,HLS.S30.T13TGJ.2022208T173909.v2.0
T13TGK,0,/data/tiles/HLS.S30.T13TGK.2022063T174231.v2.0/,HLS.S30.T13TGK.2022063T174231.v2.0
T13TGK,1,/data/tiles/HLS.S30.T13TGK.2022073T174111.v2.0/,HLS.S30.T13TGK.2022073T174111.v2.0
T13TGK,2,/data/tiles/HLS.S30.T13TGK.2022093T173911.v2.0/,HLS.S30.T13TGK.2022093T173911.v2.0
T13TGK,3,/data/tiles/HLS.S30.T13TGK.2022123T173911.v2.0/,HLS.S30.T13TGK.2022123T173911.v2.0
